,id,other,date,hashtag,user,tweet
0,4,3,Mon May 11 03:17:40 UTC 2009,kindle2,tpryan,"['cool', 'fantastic', 'right']"
1,4,4,Mon May 11 03:18:03 UTC 2009,kindle2,vcu451,"['love', 'good']"
2,4,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,['fucking']
3,4,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,"['love', 'remorse']"
4,4,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,"['fair', 'enough', 'perfect']"
5,4,8,Mon May 11 03:22:00 UTC 2009,kindle2,GeorgeVHulme,['happy']
6,0,9,Mon May 11 03:22:30 UTC 2009,aig,Seth937,"['fuck', 'hate']"
7,4,10,Mon May 11 03:26:10 UTC 2009,jquery,dcostalis,['best']
8,4,11,Mon May 11 03:27:15 UTC 2009,twitter,PJ_King,['loves']
9,4,12,Mon May 11 03:29:20 UTC 2009,obama,mandanicole,['love']
10,2,13,Mon May 11 03:32:42 UTC 2009,obama,jpeb,[]
11,0,14,Mon May 11 03:32:48 UTC 2009,obama,kylesellers,['destroy']
12,4,15,Mon May 11 03:33:38 UTC 2009,obama,theviewfans,['ovation']
13,4,16,Mon May 11 05:05:58 UTC 2009,nike,MumsFP,['puppet']
14,0,17,Mon May 11 05:06:22 UTC 2009,nike,vincentx24x,"['shit', 'waste', 'ugly', 'love']"
15,4,18,Mon May 11 05:20:15 UTC 2009,lebron,cameronwylie,['best']
16,0,19,Mon May 11 05:20:28 UTC 2009,lebron,luv8242,"['die', 'hard', 'hates']"
17,4,20,Mon May 11 05:21:04 UTC 2009,lebron,mtgillikin,['love']
18,0,21,Mon May 11 05:21:37 UTC 2009,lebron,ursecretdezire,[]
19,4,22,Mon May 11 05:21:45 UTC 2009,lebron,Native_01,[]
20,4,23,Mon May 11 05:22:03 UTC 2009,lebron,princezzcutz,"['hero', 'love']"
21,4,24,Mon May 11 05:22:12 UTC 2009,lebron,peterlikewhat,['awesome']
22,4,25,Mon May 11 05:22:37 UTC 2009,lebron,emceet,[]
23,4,26,Mon May 11 06:02:24 UTC 2009,iphone app,CocoSavanna,['fun']
24,4,33,Mon May 11 19:47:29 UTC 2009,visa,DreambigRadio,"['good', 'relief', 'sick', 'scams', 'stealing']"
25,4,34,Mon May 11 19:49:21 UTC 2009,fredwilson,andrewwatson,['awesome']
26,4,35,Mon May 11 19:50:07 UTC 2009,fredwilson,fredwilson,[]
27,4,46,Thu May 14 02:58:07 UTC 2009,"""booz allen""",JoeSchueller,"['bad', 'cool']"
28,4,47,Thu May 14 02:58:23 UTC 2009,"""booz allen""",scottabel,"['innovation', 'award', 'winner']"
29,4,49,Thu May 14 05:24:50 UTC 2009,40d,JustMe_D,"['love', 'mistake']"
30,2,50,Thu May 14 05:25:04 UTC 2009,40d,hiteshbagai,['good']
31,2,117,Sat May 16 16:18:36 UTC 2009,google,Annimallover,['good']
32,4,118,Sat May 16 16:19:04 UTC 2009,google,J_Holl,"['good', 'worked']"
33,0,119,Sat May 16 16:19:24 UTC 2009,google,vamsmack,"['break', 'fast', 'prefer']"
34,0,120,Sat May 16 16:25:41 UTC 2009,aig,schroncd,['debt']
35,0,121,Sat May 16 22:42:07 UTC 2009,itchy,MarissaLeeD,"['bored', 'itchy']"
36,0,122,Sat May 16 22:42:25 UTC 2009,itchy,robloposky,"['itchy', 'miserable']"
37,0,123,Sat May 16 22:42:44 UTC 2009,itchy,EdwinLValencia,['itchy']
38,4,124,Sat May 16 23:48:15 UTC 2009,stanford,imusicmash,"['love', 'miss']"
39,4,125,Sat May 16 23:58:34 UTC 2009,lyx,drewloewe,"['crazy', 'steep', 'good', 'insane']"
40,4,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,VickyTigger,['amazing']
41,4,132,Sun May 17 17:27:45 UTC 2009,sleep,babblyabbie,[]
42,0,133,Sun May 17 17:27:49 UTC 2009,sleep,kisjoaquin,['aching']
43,0,134,Sun May 17 17:28:02 UTC 2009,sleep,Whacktackular,"['blah', 'blah', 'blah']"
44,0,135,Sun May 17 17:29:50 UTC 2009,san francisco,Adrigonzo,"['glad', 'freaking']"
45,2,136,Sun May 17 17:30:19 UTC 2009,san francisco,sulu34,[]
46,2,137,Sun May 17 17:30:23 UTC 2009,san francisco,schuyler,[]
47,2,138,Sun May 17 17:30:56 UTC 2009,san francisco,MattBragoni,[]
48,0,139,Sun May 17 17:32:00 UTC 2009,aig,KennyTRoland,['bonuses']
49,0,140,Sun May 17 17:32:30 UTC 2009,aig,aMild,['turmoil']
50,0,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,[]
51,4,142,Sun May 17 17:35:17 UTC 2009,star trek,mimknits,"['regret', 'awesome']"
52,2,143,Sun May 17 17:35:28 UTC 2009,star trek,GeeRen,[]
53,2,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,[]
54,0,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,renano,['annoying']
55,2,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,[]
56,4,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,['recommend']
57,4,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,livreal,['amazing']
58,4,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,['crush']
59,0,150,Mon May 18 01:18:03 UTC 2009,espn,wendy93639,[]
60,4,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,"['fun', 'like']"
61,2,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""",cURLTesting,[]
62,4,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,[]
63,2,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""",danserfaty,[]
64,0,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""",raykolbe,"['slow', 'good']"
65,0,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,[]
66,4,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,rachelbegins,[]
67,4,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,['better']
68,4,173,Wed May 20 02:37:09 UTC 2009,nike,sportsgirl505,['awesome']
69,2,174,Wed May 20 02:38:27 UTC 2009,nike,MatrixSystems,[]
70,2,175,Wed May 20 02:38:45 UTC 2009,nike,cadburysgirl,[]
71,2,176,Wed May 20 02:38:50 UTC 2009,nike,AddictedToFresh,[]
72,0,177,Wed May 20 02:39:05 UTC 2009,nike,coreysmbpro,[]
73,4,178,Wed May 20 02:39:28 UTC 2009,nike,PRolivia,"['worked', 'fav']"
74,4,179,Wed May 20 02:40:23 UTC 2009,nike,ErrantDreams,[]
75,2,192,Sat May 23 20:43:22 UTC 2009,weka,nikete,['strike']
76,2,194,Sun May 24 16:18:48 UTC 2009,50d,bigdigit,[]
77,4,195,Sun May 24 16:19:04 UTC 2009,50d,justinbettman,[]
78,0,196,Sun May 24 20:48:14 UTC 2009,lambda calculus,read0,[]
79,0,197,Sun May 24 20:48:58 UTC 2009,lambda calculus,BAK3R,"['like', 'idiot']"
80,4,198,Sun May 24 20:49:52 UTC 2009,east palo alto,SLICKSPIT,['doom']
81,0,199,Sun May 24 20:50:32 UTC 2009,east palo alto,ckwright,[]
82,4,204,Mon May 25 17:15:01 UTC 2009,stanford,souleaterjh,"['great', 'available', 'helpful']"
83,2,205,Mon May 25 17:15:24 UTC 2009,stanford,susangao,[]
84,2,206,Mon May 25 17:15:43 UTC 2009,stanford,jimmy_chan2009,['wins']
85,4,207,Mon May 25 17:17:04 UTC 2009,lakers,a_fio,['work']
86,0,208,Mon May 25 17:18:29 UTC 2009,north korea,luvslikepi,['damn']
87,0,209,Mon May 25 17:19:05 UTC 2009,north korea,utsagrad123,['blow']
88,0,210,Mon May 25 17:19:14 UTC 2009,north korea,stabotage,['like']
89,0,211,Mon May 25 17:21:08 UTC 2009,pelosi,zed01,['hell']
90,0,212,Mon May 25 17:23:55 UTC 2009,bailout,funky_old_man,['burning']
91,0,213,Mon May 25 17:25:34 UTC 2009,insects,malcozer,['infected']
92,0,214,Mon May 25 17:26:50 UTC 2009,insects,AntoineTheReaL,"['burn', 'shit']"
93,0,215,Mon May 25 17:27:05 UTC 2009,insects,jonwolpert,['hate']
94,0,216,Mon May 25 17:28:50 UTC 2009,mcdonalds,jachshore,"['sick', 'well', 'suck']"
95,4,217,Mon May 25 17:29:39 UTC 2009,mcdonalds,MamiYessi,"['damn', 'wonder']"
